regex,category,source
LONGEVITY-FFB EXERCISEANDME NC,6,1
MUSE: BRAIN SENSING TORONTO ON,6,
NATURAL HEALINGS.*,6,
NATURELAND ION,6,
NET\*MIZ APPARELS,6,6
NICOLEXAVIER,6,
SAZENTEA SHIGA,6,
SMP\*\*BEE CHOO ORIGIN JURSG,6,6
SP DERMALOGICA SINGAPO,6,
SP GYMSPORTZ PTE LTD,6,
SP NIO TEAS ZURICH,6,
Swapaholic Pte\. Ltd\.,6,
SYOUJIN .*,6,4
THE EDITOR'S 3KET - JEM,6,
.*GOOGLE.*,7,"1,5"
AMZNPRIMESG.*,7,"4,5"
BEST DENKI.*APORE,7,
COURTS,7,
DKC DIGI-KEY CORP,7,
Gain City Best Electric,7,
HDB SEASON PARKING,7,
HELPLING\* SG-77.*,7,"4,5"
HOUZE,7,
JAPAN HOME PLQ0,7,
MYREPUBLIC .*,7,"4,6"
OG PEOPLE S PARK,7,
OVERLEAF SHARELATEX LONDON,7,5
PAYPAL \*HORME,7,
PLAYBILL,7,
RAP\*SINGAPORE POST,7,
SEASON PARKING,7,
SHOPEE SINGAPO,7,
SIA HUAT PTE LTD,7,
Sia Huat.*,7,
SP ANOVA CULINARY ANOVACULINARY CA,7,
SP CLICK AND GROW,7,
SP MISEN MISEN\.COM,7,
SP NOAH GARDEN CENTRE,7,
SP REOLINKSTORE,7,
SP ROBERT WELCH CHIPPING CAMP,7,
TODOIST TODOIST\.COM .*,7,1
TOTT STORE.*,7,
WWW\.UI\.COM,7,
.*ADULT & CHILD EYE.*,8,
ASTER.*SPECIALISTS,8,"4,6"
ATRIA-CITY DENTAL GROU.*,8,"4,6"
DAO LABS WWW\.MYDAOLABS MN,8,
FS TECH PTE LTD,8,
FULLERTON HEALTHCARE,8,6
HEALTH & U @ MEDICAL C,8,
INCOME INSURANCE eCC,8,5
KIN TECK TONG \(KENT RIDGE,8,
KINDER CLINIC PL-PARAGON,8,
MA KUANG.*,8,6
MINMED.*,8,
NAT'L UNIVERSITY HOSP,8,
NATIONAL HEART CTR.*,8,
NATURES GREEN,8,
NG TENG FONG GENERAL HOSP,8,
NUH KRWL5 KIOSK D-1,8,
NUH-.* CENTRE,8,
NUHMC DIAGNOSTIC IMAGING,8,
NUHMRRP-SO,8,
ONG'S OPTICS & CONTACT,8,
OWNDAYS- WESTGATE,8,1
PETITE SMILES,8,
SINGHEALTH,8,5
SMP\*\*KIN TECK TONG - .*,8,"5,6"
T\.Paediatric Centre - Jur,8,4
T\.Womens Clinic - Jurong,8,6
THOMSON WOMEN & CHILDREN,8,
TSECC \(CLEMENTI\),8,
.*SINGAPOREAIR.*,9,
BKG\*BOOKING\.COM HOTEL,9,1
Booking\.com\ Hotel\ Amsterdam,9,1
BUDDHATOOTHRELICTEMPLE,9,
Changi PlayPass,9,
CL \*Chase Travel TRIPCHRG\.COM VA,9,1
CLOUDFLARE CLOUDFLARE\.CO CA,9,
FLYSCOOT\.COM.*,9,
GARDENS BY THE BAY.*,9,
JEWEL ATTRACTIONS KIOSK,9,
LYFT\*RIDE THU .*M LYFT\.COM CA,9,
PAYPAL \*FRENCHLANGU,9,
SCOOT CAFE_SATS APS,9,
SCOOT WIFI PAC USD IRVINE CA,9,
SP LONELY PLANET SHOP\.LONELYPL,"9,10",
THE PLANET TRAVELLER W,9,5
TOYOTA.*,9,
UBER\*EATS HELP\.UBER\.COM CA,9,
Club Rainbow,10,
FOSSA CHOCOLATE,10,
JAPAN HOME \(RETAIL\) P L,10,
LOAD EGIFT,10,
OPN Cedele,10,
OSEWAYA SHIBUYAKU,10,
PET LOVERS CENTRE TSVT,10,
PRECIOUS THOUGHTS,10,6
SINGPOST - .*,10,
SP FLORISTIQUESG,10,
SP THEXSTYLE PTE LTD,10,5
WOODS IN THE BOOKS PTE LT,10,
